
1, 57, 100, 300
1, 300, 100, 300
2, 57, 100, 300
2, 300, 100, 300
3, 49, 100, 300
3, 300, 100, 300
4, 38, 100, 300
4, 300, 100, 300
5, 48, 100, 300
5, 300, 100, 300
6, 12, 100, 300
6, 300, 100, 300
7, 15, 100, 300
7, 300, 100, 300
8, 11, 100, 300
8, 300, 100, 300
9, 15, 100, 300
9, 300, 100, 300
10, 17, 100, 300
10, 300, 100, 300
11, 1, 100, 300
11, 300, 100, 300
12, 2, 100, 300
12, 300, 100, 300
13, 1, 100, 300
13, 300, 100, 300
14, 0, 100, 300
14, 300, 100, 300
15, 0, 100, 300
15, 300, 100, 300
16, 1, 100, 300
16, 299, 100, 300
17, 0, 100, 300
17, 9, 100, 300
17, 300, 100, 300
18, 0, 100, 300
18, 0, 100, 300
18, 300, 100, 300
19, 0, 100, 300
19, 0, 100, 300
19, 300, 100, 300
20, 0, 100, 300
20, 0, 100, 300
20, 300, 100, 300
21, 0, 100, 300
21, 0, 100, 300
21, 300, 100, 300
22, 0, 100, 300
22, 0, 100, 300
22, 300, 100, 300
23, 0, 100, 300
23, 0, 100, 300
23, 300, 100, 300
24, 0, 100, 300
24, 0, 100, 300
24, 300, 100, 300
25, 0, 100, 300
25, 0, 100, 300
25, 300, 100, 300
26, 0, 100, 300
26, 0, 100, 300
26, 300, 100, 300
27, 0, 100, 300
27, 0, 100, 300
27, 300, 100, 300
28, 0, 100, 300
28, 0, 100, 300
28, 300, 100, 300
29, 0, 100, 300
29, 0, 100, 300
29, 300, 100, 300
30, 0, 100, 300
30, 0, 100, 300
30, 300, 100, 300
31, 0, 100, 300
31, 0, 100, 300
31, 300, 100, 300
32, 0, 100, 300
32, 0, 100, 300
32, 300, 100, 300
1, 7, 100, 300
1, 300, 100, 300
2, 23, 100, 300
2, 300, 100, 300
3, 30, 100, 300
3, 300, 100, 300
4, 17, 100, 300
4, 300, 100, 300
5, 25, 100, 300
5, 300, 100, 300
6, 6, 100, 300
6, 300, 100, 300
7, 6, 100, 300
7, 300, 100, 300
8, 5, 100, 300
8, 300, 100, 300
9, 6, 100, 300
9, 300, 100, 300
10, 12, 100, 300
10, 300, 100, 300
11, 10, 100, 300
11, 300, 100, 300
12, 6, 100, 300
12, 300, 100, 300
13, 0, 100, 300
13, 300, 100, 300
14, 0, 100, 300
14, 300, 100, 300
15, 0, 100, 300
15, 19, 100, 300
15, 300, 100, 300
16, 0, 100, 300
16, 0, 100, 300
16, 300, 100, 300
17, 0, 100, 300
17, 0, 100, 300
17, 300, 100, 300
18, 0, 100, 300
18, 0, 100, 300
18, 300, 100, 300
19, 0, 100, 300
19, 0, 100, 300
19, 300, 100, 300
20, 0, 100, 300
20, 0, 100, 300
20, 300, 100, 300
21, 0, 100, 300
21, 0, 100, 300
21, 300, 100, 300
22, 0, 100, 300
22, 0, 100, 300
22, 300, 100, 300
23, 0, 100, 300
23, 0, 100, 300
23, 300, 100, 300
24, 0, 100, 300
24, 0, 100, 300
24, 300, 100, 300
25, 0, 100, 300
25, 0, 100, 300
25, 300, 100, 300
26, 0, 100, 300
26, 0, 100, 300
26, 300, 100, 300
27, 0, 100, 300
27, 0, 100, 300
27, 300, 100, 300
28, 0, 100, 300
28, 0, 100, 300
28, 300, 100, 300
29, 0, 100, 300
29, 0, 100, 300
29, 300, 100, 300
30, 0, 100, 300
30, 0, 100, 300
30, 300, 100, 300
31, 0, 100, 300
31, 0, 100, 300
31, 300, 100, 300
32, 0, 100, 300
32, 0, 100, 300
32, 300, 100, 300
1, 32, 100, 300
1, 300, 100, 300
2, 33, 100, 300
2, 300, 100, 300
3, 22, 100, 300
3, 300, 100, 300
4, 20, 100, 300
4, 300, 100, 300
5, 27, 100, 300
5, 300, 100, 300
6, 4, 100, 300
6, 300, 100, 300
7, 5, 100, 300
7, 300, 100, 300
8, 5, 100, 300
8, 300, 100, 300
9, 8, 100, 300
9, 300, 100, 300
10, 8, 100, 300
10, 300, 100, 300
11, 1, 100, 300
11, 300, 100, 300
12, 0, 100, 300
12, 300, 100, 300
13, 0, 100, 300
13, 300, 100, 300
14, 0, 100, 300
14, 300, 100, 300
15, 0, 100, 300
15, 300, 100, 300
16, 0, 100, 300
16, 300, 100, 300
17, 0, 100, 300
17, 300, 100, 300
18, 0, 100, 300
18, 0, 100, 300
18, 300, 100, 300
19, 0, 100, 300
19, 0, 100, 300
19, 300, 100, 300
20, 0, 100, 300
20, 0, 100, 300
20, 300, 100, 300
21, 0, 100, 300
21, 0, 100, 300
21, 300, 100, 300
22, 0, 100, 300
22, 0, 100, 300
22, 300, 100, 300
23, 0, 100, 300
23, 0, 100, 300
23, 300, 100, 300
24, 0, 100, 300
24, 0, 100, 300
24, 300, 100, 300
